"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
41,12386,0.00007878787878787879,1.6129526234169504,0.00007878787878787879,0.007297525676914687,1.2995610670816166e-6,0.13497587436322794,0.547862394909645,0.7751563251365142,0.7826701406351751,1.0194514628082891,0.15019286832730275,0.008656646290591609,0.004271016625198642,0.49368232489200214,0.9382720882250758,0.6996509576161407,0.8502657645157072,0.653332264674619,41.21577476319931,3.420431495089654
42,12387,0.00009684848484848485,1.5147808852590239,0.00009696969696969698,0.007297525690020784,1.3177387945720221e-6,0.1349770267184525,0.547831418622006,0.775006443088376,0.7827785659533503,1.019448406340411,0.14975750525413103,0.008525161448864194,0.004244991771036918,0.4936828156320116,0.9382720883501182,0.6875029927804177,0.834601847019273,0.6471264553607646,42.03044264443665,3.2835262013166173
43,12388,0.000088,1.5383336534903185,0.00008787878787878787,0.007297525668030593,1.2535821258687115e-6,0.1349762977998039,0.547866214084757,0.7754159578326021,0.7826709998779948,1.0194542247773346,0.14998901300442544,0.008586412975702326,0.004247610110419645,0.49366430856414223,0.9382720881802401,0.7029280211195391,0.8265917818765702,0.6539741913652314,42.14891458861965,3.3305972916675475
44,12389,0.00009254545454545456,1.5177603578128336,0.00009242424242424243,0.007297525667987198,1.238525746626255e-6,0.13497606488222805,0.5478546079850889,0.7755319390457084,0.7827503469176795,1.0194520556937214,0.1490336136910708,0.008704698069590473,0.004256008026574458,0.49367368853423194,0.9382720879885839,0.7021158388926115,0.8174198509070305,0.6694231252405592,42.26896559855504,3.2794277756265204
45,12390,0.0001070909090909091,1.499713594620537,0.00010757575757575758,0.007297525680482601,1.2884251116081762e-6,0.13497663988087513,0.5478499851956418,0.7753742577821351,0.7829409379408165,1.0194422680086108,0.14915326917657667,0.008866285047419013,0.004236075377370292,0.49366023070801623,0.9382720882393235,0.6834327877019845,0.8116557114128787,0.6469847599283765,41.61472460541945,3.2856106510225063
46,12391,0.00010115151515151515,1.508088711290413,0.0001015151515151515,0.007297525671925685,1.244213950658071e-6,0.1349762800573054,0.5478527641818631,0.7751246986272469,0.782548081552643,1.019455211309728,0.15082268885184372,0.008835829310976847,0.004251317180950505,0.4936584739392884,0.9382720880099562,0.6965764384680778,0.8020549451933839,0.6465114845702195,41.886092275604575,3.4474898979795245
47,12392,0.00009054545454545455,1.5745552774037597,0.0000909090909090909,0.007297525675219825,1.1635518664215724e-6,0.13497665532164993,0.5478538592752888,0.7750049891777843,0.7826145506247564,1.0194758323980773,0.14879715723664713,0.008758783458094329,0.004253984432042466,0.4936831585107759,0.9382720881062158,0.6891644367181115,0.8350419063250166,0.6442628732572466,41.09042375281968,3.1475627467280645
48,12393,0.00008684848484848484,1.5634337146631014,0.00008636363636363636,0.007297525615523553,1.3235309415425282e-6,0.1349768144682571,0.5478569856437863,0.7751309424347795,0.7828835658543486,1.0194702779081193,0.14896279095790046,0.008756510494350084,0.004243445286113633,0.49367428270961733,0.9382720879790033,0.6933148304456539,0.8441453670528047,0.6356189229504693,41.641972901838116,3.27323373070046
49,12394,0.0000812121212121212,1.611066692482618,0.00008181818181818182,0.00729752565903844,1.3418994248778144e-6,0.13497678518457057,0.547866957574136,0.7757765907473873,0.7825256829069718,1.0194678012839593,0.14953842126207742,0.008680223155891007,0.004251722868378198,0.49368504292576376,0.9382720878795096,0.6986737399074164,0.8438493014812162,0.6421710523171051,41.0205199766527,3.520402790488263
50,12395,0.00006757575757575758,1.6575707330527152,0.00006818181818181818,0.007297525676208351,1.3429736963503042e-6,0.13497634735137146,0.547881397957955,0.7750378410185866,0.7824091263198993,1.0194505446973774,0.14798438755373938,0.008686609994261218,0.0042469627047331295,0.4936859713629597,0.9382720881101054,0.7196874196544223,0.8375522201071414,0.653210488374459,41.274022073255956,3.25248317453885
51,12396,0.00007727272727272729,1.6174640274892773,0.00007727272727272729,0.0072975257110545096,1.2836931319957296e-6,0.1349766921602563,0.5478357137513551,0.775327619652066,0.7826886251225245,1.0194818282707832,0.14856317759633617,0.008626356797223539,0.004236716128991408,0.4936415463565443,0.9382720881238901,0.7072725065501396,0.8359138901653483,0.6432589177819262,41.253862917855365,3.233090315277849
52,12397,0.00006793939393939395,1.6688064426172247,0.00006818181818181818,0.007297525647255524,1.3369340508186835e-6,0.1349762548584821,0.5478708462398133,0.7753017484707436,0.7826159934424017,1.0194433856379208,0.14885790843743057,0.008894721252252342,0.004269470961080451,0.49369917699010724,0.9382720881453577,0.7226917380463357,0.8269741834413432,0.6631541086108685,40.97496663187829,3.229153972644518
53,12398,0.00007751515151515153,1.629042572130106,0.00007727272727272729,0.007297525632601487,1.3355061153803538e-6,0.13497639198965733,0.5478835533252784,0.7752476494783043,0.7826909498783536,1.019451032497816,0.1489976357120307,0.00877364574507496,0.004229620168165647,0.49370037771466163,0.9382720877229608,0.7068569589868997,0.8325708317974613,0.6584581337353098,40.93917965117158,3.255214838703864
54,12399,0.00006793939393939395,1.6443035754308553,0.00006818181818181818,0.007297525673780647,1.3708112533612862e-6,0.13497631032534216,0.5478635327516875,0.7754249636263312,0.7827974365252613,1.0194790585781794,0.15030992896347506,0.008742513852122729,0.0042923258388773665,0.4936581436786697,0.9382720878607406,0.7105134712775658,0.8614429089286179,0.6566542428572474,41.494373270771156,3.2852087589311236
55,12400,0.00008393939393939393,1.606355319182819,0.00008333333333333333,0.007297525660264908,1.396326188751336e-6,0.1349762546950361,0.547841814111431,0.7751913680158297,0.7828034228620259,1.0194601151363198,0.14771042024884082,0.008632901808210672,0.004254258205879698,0.4936651932650191,0.9382720885239033,0.7048610306314177,0.8183294940183007,0.6563001213533604,40.92386717253676,3.235078537158855
56,12401,0.00009193939393939395,1.561518482222073,0.00009242424242424243,0.007297525671909262,1.3132498242693525e-6,0.1349764651981904,0.5478449807210722,0.7753347418661983,0.782613123919723,1.0194400719815424,0.14782751661783677,0.00859041453936351,0.004227155993737373,0.4936622177995065,0.9382720887833885,0.6926394537622043,0.8283333159772975,0.6592641878345058,41.29322995682906,3.318134357883248
